title,company,location,link,job_description
Data Lake - Data Engineer 1,"Hy-Vee, Inc.","Remote in West Des Moines, IA+1 location",https://www.indeed.com/rc/clk?jk=405228706fc3b28e&fccid=6837147f8d33dcd7&vjs=3,"At Hy-Vee our people are our strength. We promise “a helpful smile in every aisle” and those smiles can only come from a workforce that is fully engaged and committed to supporting our customers and each other. Job Description: Job Title: Data Engineer 1 Department: Information Technology FLSA : Exempt General Function An entry level professional who assists in development, implementation, and support of data pipelines for a specific area with strong mentorship and guidance. Core Competencies Partnerships Growth mindset Results oriented Customer focused Professionalism Reporting Relations Accountable and Reports to: TBD Positions that Report to you: TBD Primary Duties and Responsibilities Design, Create and maintain on premise and cloud based data integration pipelines. Assemble large, complex data sets that meet functional/non functional business requirements. Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc. Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources. Build analytics tools that utilize the data pipeline to provide actionable insights into key business performance metrics. Research and work on data-related technical issues and support tickets. Create data pipelines to enable BI, Analytics and Data Science teams that assist them in building and optimizing their systems Knowledge, Skills, Abilities, and Worker Characteristics Basic Understanding of Database Programming Language (T-SQL, SQL, PLSQL, etc.) Basic understanding of RDMS systems Basic understanding of ETL Tools Experience and Education Bachelor degree preferred, or relevant experience. Supervisory Responsibilities (Direct Reports) None Physical Requirements Visual requirements include: ability to see detail at near range with or without correction. Must be physically able to perform sedentary work: operating a computer, occasionally lifting or carrying objects of no more than 10 pounds, and occasionally standing or walking. Must be able to perform the following physical activities: meeting with customers, kneeling, reaching, handling, grasping, feeling, talking, hearing, and repetitive motions. Working Conditions The duties for this position are performed in a general or remote office setting. There is weekly pressure to meet deadlines and handle multiple tasks in a day. Equipment Used to Perform Job Laptop and desktop computer, telephone, copier, Fax, printer, PC with Microsoft Office programs and other software relevant to specific position. Financial Responsibility None Contacts Has frequent contact with office personnel in other departments related to the position as well as occasional contact with users and customers. Confidentiality Has access to confidential information. Are you ready to smile, apply today."
Data Engineer,Abbott Laboratories,"Chicago, IL+1 location",https://www.indeed.com/rc/clk?jk=7fcdadbbd3418a62&fccid=77426fa86bb11d7c&vjs=3,"Abbott is a global healthcare leader that helps people live more fully at all stages of life. Our portfolio of life-changing technologies spans the spectrum of healthcare, with leading businesses and products in diagnostics, medical devices, nutritionals and branded generic medicines. Our 113,000 colleagues serve people in more than 160 countries. Our location in Chicago, IL currently has an opportunity for an entry leve Data Engineer. This would be a role in the newly formed Big Data Advanced Analytics group of the organization. This role will assist in development of data platforms, business solutions, and proof of concept to assist the big data team in realizing business goals WHAT YOU’LL DO Demonstrate high degree of analytic agility to meet fluid and dynamic business needs Use data engineering techniques to design and build solutions/ products for analyzing large data sets and identify patterns and relationships Create, deploy and optimize large scale data Assist in rapid development of new data and analytics prototypes Explore data sources to better understand the availability and quality of data. Document available data sources and how they are being transformed. Embrace an environment that supports innovation and process improvement Manage data sources, organize data and create data assets using identified open source or proprietary tools Work closely with SMEs, functional experts in Commercial, R&D, finance, etc. for building data pipeline from structure and unstructured data sources Work on newest tools and technologies to achieve results - Scala, Scalding, Spark, Hadoop EDUCATION AND EXPERIENCE YOU’LL BRING Required Bachelor’s degree in any of the following – Physics, Computer Science, Statistics, Quantitative Sciences (preferred) 1+ years of experience Strong problem-solving skills Experience in data analytics solution components from AWS and Microsoft Azure. Preferred Scala and Spark experience Experience with Python, and/or R will be a plus Ability and desire to learn new software languages and technologies Attention to detail and organization/ documentation skills Ability to prioritize and triage deadline-driven tasks in a high-pressure environment Experience manipulating and analyzing complex, high-volume data from varying sources Ability to communicate complex quantitative analysis in a clear, precise, actionable manner WHAT WE OFFER At Abbott, you can have a good job that can grow into a great career. We offer: Training and career development, with onboarding programs for new employees and tuition assistance Financial security through competitive compensation, incentives and retirement plans Health care and well-being programs including medical, dental, vision, wellness and occupational health programs Paid time off 401(k) retirement savings with a generous company match The stability of a company with a record of strong financial performance and history of being actively involved in local communities Learn more about our benefits that add real value to your life to help you live fully: www.abbottbenefits.com Follow your career aspirations to Abbott for diverse opportunities with a company that provides the growth and strength to build your future. Abbott is an Equal Opportunity Employer, committed to employee diversity. Connect with us at www.abbott.com, on Facebook at www.facebook.com/Abbott and on Twitter @AbbottNews and @AbbottGlobal."
Data Engineer,Farmers Insurance Group,Remote,https://www.indeed.com/rc/clk?jk=a6adae584983c7ee&fccid=77a32bcb59e7f031&vjs=3,"We are Farmers! We are… more than just your favorite commercials. We are a passionate, award winning, equal opportunity employer, committed to the strength of a diverse workforce. We are dedicated to supporting the well-being of our people through our extensive suite of benefits, as well as the well-being of the communities we serve through employee volunteer programs and nonprofit partnerships. Helping others in their time of need isn’t just our business – it’s our culture! We are Farmers! Do you thrive in a high-volume, fast-paced environment? Do you enjoy the challenge of a position where no two days are alike? We are looking for positive, high-energy professionals who are not just looking for a job, but a meaningful career! Job Summary Provides expertise in the design and functionality of business applications; Creates and validates the detailed technical designs to ensure alignment with business requirements; Develops and performs quality checks on project deliverables; Creates and validates estimates for new application functionality; Performs impact analysis of application changes across various components, holding an end-to-end view of the system; Specifies integration and testing criteria; Supports the implementation activities as well as troubleshoots application/system/environmental issues, as required. Preferred Skills Work within structure of SAFe Agile team on the successful delivery of Business Intelligence projects, enhancements, and defects. Independently lead and deliver new projects and enhancements. Collaborate with Agile team members to understand functional and technical requirements. Prepare estimates based on high-level requirements and assumptions. Translate functional requirements into technical specifications for ETL development; develop source-to-target mappings and actively manage Development, Unit Testing and Implementation efforts. Troubleshoot production defects, perform root cause analysis and provide guidance to team on the fixes. 1 year experience in developing business data systems – (Use of Microsoft SQL Server preferred) Experience with Python and semi-structured data manipulation is a plus. Experience working in an Agile Environment is a plus. Understanding of business practices, processes, and methodologies. Highly committed, motivated, enthusiastic and a natural team player. Good interpersonal and communication skills (both verbal and written) and ability to interact with and effectively address concerns. Good prioritization, time management, analytical, and organization skills. Essential Job Functions Use MS SQL Server databases to create new business functionalities as well to solve business problems: Respond to new requests for reports/data understanding business objectives and processes; review and refine technical requirements/User Stories; and communicate estimated hours and timeline to complete; Extract data directly from relational databases (e.g. SQL Server, DB2, Oracle), data warehouses, or other data stores using SQL; Ability to create manual as well as automated data exports/reports; and Support application unit testing for enhancements or system upgrades; identify and communicate data quality issues or data differences. Work productively on assigned tasks; Collaborate effectively with other team members; Demonstrate accountability to management and business for hours spent on assigned tasks; and diligently strive to deliver value. Physical Actions Essentially sedentary work consisting of occasional walking, standing, and lifting/carrying 10 lbs. maximum Functional ability of seeing, hearing and speaking Ability to type proficiently Physical Environment Work in a climate-controlled office, with occasional travel by car or airplane. Education Requirements High school diploma or equivalent required. Bachelor’s degree preferred, in Information Systems or related field. Experience Requirements Experience with data extraction, manipulation and presentation in usable format. Special Skill Requirement Experience with Python and cloud technologies is a plus. Benefits Farmers offers a competitive salary commensurate with experience, qualifications and location CO Only: The pay range for this job being performed in Colorado would be $64,100-85,500 Bonus Opportunity (based on Company and Individual Performance) 401(k) Medical Dental Vision Health Savings and Flexible Spending Accounts Life Insurance Paid Time Off Paid Parental Leave Tuition Assistance Job Location(s): US - RW - Remote Work - Farmers"
"Data Engineer (Open to remote work, except the following loc...",Nike,"Remote in Atlanta, GA+8 locations",https://www.indeed.com/rc/clk?jk=3843153749cd57a6&fccid=2c62e4de04b8f952&vjs=3,"Become a Part of the NIKE, Inc. Team NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game. NIKE is a technology company. From our flagship website and five-star mobile apps to developing products, managing big data and providing leading edge engineering and systems support, our teams at NIKE Global Technology exist to revolutionize the future at the confluence of tech and sport. We invest and develop advances in technology and employ the most creative people in the world, and then give them the support to constantly innovate, iterate and serve consumers more directly and personally. Our teams are innovative, diverse, multidisciplinary and collaborative, taking technology into the future and bringing the world with it. Who we are: Our Enterprise Data & Analytics team is a capability-driven organization that connects an end-to-end view of data & analytics across Nike, Inc. We deliver consistent, trusted, and available data products, integration, and analytics capabilities that drive informed and efficient decisions fueling growth by serving athletes* personally at scale. Who we are looking for: We are looking for Data Engineers with a history of developing complex data solutions and experience working on end-to-end solution design. You are a passionate, data evangelist who loves finding relationships between disparate data sets and clarity in a muddied data environment and are continually learning as well as finding opportunities to share knowledge with others. You will be part of an organization focusing on the development and delivery of data solutions and capabilities for Nike’s data platforms. We look for motivated, curious individuals who thrive in collaborative and innovative settings, have aptitude and communication skills to navigate dynamic environments and are willing to fail forward! What you bring: Bachelor’s Degree in Information Technology, Information Security/Assurance, Computer Science, Engineering, or related field of study, or any combination of relevant equivalent experience, education and training. 0-3 years of experience in the industry Demonstrated a conceptual understanding in cloud environments such as Microsoft Azure, Google Cloud, AWS, MPP, Big Data and NoSQL technologies like Hadoop, Spark, Impala, Hive, MongoDB, HBase or Cassandra Demonstrated proficiency in Python and SQL Open to remote work, except cannot work in South Dakota, Vermont, and West Virginia. These candidates will be required to relocate. For employees based in Colorado, this position starts at $83,000 per year. Information about benefits can be found here. Nike requires all applicants for this position to be vaccinated for COVID-19 as a condition of hire, unless otherwise required by law. As an equal opportunity employer, Nike will make accommodations to individuals who cannot be vaccinated in accordance with applicable law. NIKE, Inc. is a growth company that looks for team members to grow with it. Nike offers a generous total rewards package, casual work environment, a diverse and inclusive culture, and an electric atmosphere for professional development. No matter the location, or the role, every Nike employee shares one galvanizing mission: To bring inspiration and innovation to every athlete* in the world. NIKE, Inc. is committed to employing a diverse workforce. Qualified applicants will receive consideration without regard to race, color, religion, sex, national origin, age, sexual orientation, gender identity, gender expression, veteran status, or disability."
Data Engineer entry level,Fisker Inc,"Manhattan Beach, CA 90266",https://www.indeed.com/rc/clk?jk=b25a9682949f26e1&fccid=38c354bb9b09f488&vjs=3,"About Fisker Inc. California-based Fisker Inc. is revolutionizing the automotive industry by developing the most emotionally desirable and eco-friendly electric vehicles on Earth. Passionately driven by a vision of a clean future for all, the company is on a mission to become the No. 1 e-mobility service provider with the world’s most sustainable vehicles. To learn more, visit www.FiskerInc.com – and enjoy exclusive content across Fisker’s social media channels: Facebook , Instagram , Twitter , YouTube and LinkedIn . Download the revolutionary new Fisker mobile app from the App Store or Google Play store. Job Responsibilities Be part of a team solving data and machine learning problems that constantly advance the state-of-the-art for electric vehicles. Work with software engineers, devops, ML engineers, and data scientists. Help in the development of data and training pipelines for supporting ML infrastructure. Build large scale training and inference pipelines Build metrics, dashboards to measure both ML and system performance Job Qualifications BS or Master’s Degree in Computer Science, Statistics or related field. Strong coding skills in Python, C/C++, or Go. Familiarity with large-scale data processing and distributed systems such as Hadoop, Kafka. Understanding of relational and columnar databases, SQL and data models. Mathematical knowledge; understanding of machine learning, statistics Expertise in crafting Data Models for high performance and scalability Preferred Experience working with IoT sensor data, ideally automotive. Experience with applied data analytics and predictive modelling Experience in distributed training and model deployment Related course work or experience with vehicle systems: Battery, powertrain, embedded, etc. Experience framework such as Airflow, MLflow, Kubeflow, etc Fisker Inc. is an Equal Opportunity Employer; employment at Fisker Inc. is governed based on merit, competence and qualifications and will not be influenced in any manner by race, color, religion, gender, national origin/ethnicity, veteran status, disability status, age, sexual orientation, gender identity, marital status, mental or physical disability or any other legally protected status. Applicants wishing to view a copy of Fisker Inc.’s Affirmative Action Plan for veterans and individuals with disabilities, or applicants requiring reasonable accommodation to the application/interview process should notify the Human Resources Department"
Data Engineer,"Gametime United, Inc.",Remote,https://www.indeed.com/company/Gametime/jobs/Data-Engineer-0d0b58bccab981a1?fccid=e532a19a6be3c2bc&vjs=3,"About us: Live experiences help make us human, bringing us across today’s social and digital divides to focus on what truly connects us - the here, the now, the once-in-a-lifetime moment that we share - together. To fulfill Gametime’s vision to unite the world through shared experiences, we deliver fans an extraordinary experience for enjoying, discovering, and purchasing last-minute tickets to live events. With platforms on iOS, Android, mobile web, and desktop supporting events across the US and Canada, we are reimagining the event ticket experience in a mobile-first world. *The Role: *We are looking for an organized, data-driven, and curious team player to work cross-functionally across the data, product, marketing, finance, and operations teams. As a Data Engineer, you will support and inform various functions throughout the company to solve business-critical issues, specifically related to our product, features, etc. You will develop new ETL processes and deploy new technologies into the ecosystem. The ideal candidate will be able to thrive in a fast-paced environment and able to adapt to changes within the business and the industry. What you'll do/own: Develop data pipelines and infrastructure that is fast, reliable, and accurate Create ingest processes for new data sources Maintain and develop data alerting infrastructure to quickly respond to and fix production issues Influence and build relationships with people across all levels of the organization, internally and externally Our ideal candidate has: 1-3+ years of Data Engineer experience, ideally at a technology company Proficient in SQL Experience with a programming language (Python a plus) Ability to identify, analyze, and provide recommendations to complex business understanding of database concepts and architecture Ability to work across disparate data sources to obtain sensible results Strong collaboration and communication skills Experience analyzing user-centric products, preferably in the gaming or marketplace industries Strong problem-solving skills Some experience with Python or R Experience with a data visualization software What we can offer you: Flexible PTO Medical, dental, & vision insurance Life insurance and disability benefits 401K, HSA, pre-tax savings programs New equipment setup provided Wellness programs Tenure recognition Gametime is committed to bringing together individuals from different backgrounds and perspectives. We strive to create an inclusive environment where everyone can thrive, feel a sense of belonging, and do great work together. As an equal opportunity employer, we prohibit any unlawful discrimination against a job applicant on the basis of their race, color, religion, veteran status, sex, parental status, gender identity or expression, transgender status, sexual orientation, national origin, age, disability or genetic information. We respect the laws enforced by the EEOC and are dedicated to going above and beyond in fostering diversity across our company. Job Type: Full-time"
Data Engineer,O'Reilly Media,Remote,https://www.indeed.com/rc/clk?jk=464d0e0ec778fa77&fccid=f6b4585215cfe949&vjs=3,"About Your Team Our data engineering team has a strong focus on delivering high-quality, reliable data to platforms and people within O’Reilly as well as building high-performance, scalable and extensible systems. We are intentional in our search for teammates who are helpful, respectful, communicate openly, and are always willing to do what’s best for our users. We keep a close eye on our pipelines and processes to make sure we’re delivering useful, timely improvements to aid decision-making and data visualization within O’Reilly. The team is broadly distributed across the US in multiple cities and timezones and constantly encourages each other to deliver work that instills pride and fulfillment. About the Job We are looking for a thoughtful and experienced data engineer to help grow a suite of systems and tools written primarily in Python. The ideal candidate will have a deep understanding of modern data engineering concepts and will have shipped or supported code and infrastructure with a user base in the millions and datasets with billions of records. The candidate will be routinely implementing features, fixing bugs, performing maintenance, consulting with product managers, and troubleshooting problems. Changes you make will be accompanied by tests to confirm desired behavior. Code reviews, in the form of pull requests reviewed by peers, are a regular and expected part of the job as well. Job Details In a normal week, you might: Develop a new feature from a user story using Python and PostgreSQL or BigQuery Collaborate with product managers to define clear requirements, deliverables, and milestones Team up with other groups within O’Reilly (e.g. data science or machine learning) to leverage experience and consult on data engineering best practices Review a pull request from a coworker and pair on a tricky problem Provide a consistent and reliable estimate to assess risk for a project manager Learn about a new technology or paper and present it to the team Identify opportunities to improve our pipelines through research and proof-of-concepts Help QA and troubleshoot a pesky production problem Participate in agile process and scrum ceremonies Why you'll love working on our team: You'll be working for a company that embraces and pursues new technology You'll be working with a company that trusts and engages its employees We believe in giving engineers the tools and hardware that they need to do their job Bi-weekly virtual team hangouts and space to learn new skills (we’re a learning company after all!) Great company benefits (health/dental/vision insurance, 401k, etc.) We care deeply about work-life balance and treat everyone like human beings first About You What we like to see for anyone joining our data engineering teams: Proficiency in building highly scalable ETL and streaming-based data pipelines using Google Cloud Platform services and products Proficiency in large scale data platforms and data processing systems such as Google BigQuery and Amazon Redshift Excellent Python and PostgreSQL development and debugging skills Experience building systems to retrieve and aggregate data from event-driven messaging frameworks (e.g. RabbitMQ and Pub/Sub) Strong drive to experiment, learn and improve your skills Respect for the craft—you write self-documenting code with modern techniques Great written communication skills—we do a lot of work asynchronously in Slack and Google Docs Empathy for our users—a willingness to spend time understanding their needs and difficulties is central to the team Desire to be part of a compact, fun, and hard-working team Not required, but for bonus points: Experience with Google Cloud Dataflow/Apache Beam Experience with Django RESTful endpoints Experience working in a distributed team Knowledge and experience with machine learning pipelines Contributions to open source projects Knack for benchmarking and optimization Minimum Qualifications 2+ years of professional data engineering (or equivalent) experience 1+ year experience of working in an agile environment About O’Reilly Media O’Reilly’s mission is to change the world by sharing the knowledge of innovators. For over 40 years, we’ve inspired companies and individuals to do new things—and do things better—by providing them with the skills and understanding that’s necessary for success. At the heart of our business is a unique network of experts and innovators who share their knowledge through us. O’Reilly Learning offers exclusive live training, interactive learning, a certification experience, books, videos, and more, making it easier for our customers to develop the expertise they need to get ahead. And our books have been heralded for decades as the definitive place to learn about the technologies that are shaping the future. Everything we do is to help professionals from a variety of fields learn best practices and discover emerging trends that will shape the future of the tech industry. Our customers are hungry to build the innovations that propel the world forward. And we help you do just that. Learn more: https://www.oreilly.com/about/ Diversity At O’Reilly, we believe that true innovation depends on hearing from, and listening to, people with a variety of perspectives. We want our whole organization to recognize, include, and encourage people of all races, ethnicities, genders, ages, abilities, religions, sexual orientations, and professional roles. Learn more: https://www.oreilly.com/diversity"
Claims Data Engineer (Remote),HealthFirst,+50 locationsRemote,https://www.indeed.com/rc/clk?jk=6c7dcb78eecce291&fccid=33b2d0072564c18e&vjs=3,"The Claims Data Engineer is responsible for data acquisition strategies and integration scripting and tools, data migrations, conversions, purging and back-ups; fulfills data acquisition strategy requirements. They work with product, financial control, analysts, users and other stakeholders to understand business requirements and supports data architecture to translate into data acquisition strategies. The Claims Data Engineer will author artifacts defining standards and definitions for storing, processing and moving data, including associated processes and business rules. Additionally, the Claims Data Engineer will map the details within these their artifacts to business processes, non-functional characteristics, QA criteria and technical enablement. The role is responsible to be constantly thinking through the needs of the business to support efficient and error free processes. The Claims Data Engineer will be responsible for finding trends in datasets and developing workflows and algorithms to help make raw data more useful to the enterprise. He or she will also be responsible for creating data acquisition strategy and develops data set processes. Designs and implements standardized data management procedures around data staging, data ingestion, data preparation, data provisioning and data destruction (scripts, programs, automation, assisted by automation, etc.). Ensures quality of technical solutions as data moves across Healthfirst environments Provide insight into the changing data environment, data processing, data storage and utilization requirements for the company and offer suggestions for solutions Ensures managed analytic assets support Healthfirst’s strategic goals by creating and verifying data acquisition requirements and strategy Develop, construct, test and maintain architectures Align architecture with business requirements and use programming language and tools Identify ways to improve data reliability, efficiency and quality Conduct research for industry and business questions Deploy sophisticated analytics programs, machine learning and statistical methods Prepare data for predictive and prescriptive modeling and find hidden patterns using data Use data to discover tasks that can be automated Create data monitoring capabilities for each business process and work with data consumers on updates Aligns data architecture to Healthfirst solution architecture; contributes to overall solution architecture Help maintain the integrity and security of the company data Minimum Qualifications: Bachelor’s Degree in Computer Engineering or related field Experience in a data engineering Experience in data programing languages such as java or python Experience working in a Big Data ecosystem processing data; includes file systems, data structures/databases, automation, security, messaging, movement, etc. Experience working in a production cloud infrastructure Preferred Qualifications: Proven track record of success directing the efforts of data engineers and business analysts within a deadline-driven and fast-paced environment Experience working with Alteryx, Tableau, SQL, Python, and/or AWS Hands on experience in leading healthcare data transformation initiatives from on-premise to cloud deployment Demonstrated experience working in an Agile environment as a Data Engineer Hands on work with Amazon Web Services, including creating Redshift data structures, accessing them with Spectrum and storing data in S3 Knowledge of SQL and multiple programming languages in order to optimize data processes and retrieval. Proven results using an analytical perspective to identify engineering patterns within complex strategies and ideas, and break them down into engineered code components Knowledge of provider-sponsored health insurance systems/processes and the Healthcare industry Experience developing, prototyping, and testing engineered processes, products or services Proven ability to work in distributed systems Proficiency with relational, graph and NoSQL databases required; expertise in SQL Must be able to develop creative solutions to problems Demonstrates critical thinking skills with ability to communicate across functional departments to achieve desired outcomes Excellent interpersonal skills with proven ability to influence with impact across functions and disciplines Ability to work independently and as part of a team Ability to manage multiple projects/deadlines, identifying the necessary steps and moving forward through completion Skilled in Microsoft Office including Project, PowerPoint, Word, Excel and Visio Please note: Since we care so greatly about our employees' and members' wellbeing, Healthfirst is moving to an environment where our employees are fully vaccinated against COVID-19. As a prospective new team member, you must be fully vaccinated with a CDC/FDA approved COVID-19 shot(s) to work in our offices. If you are selected to interview for this role, we will explain our vaccination policy in further detail and ensure you are comfortable moving forward with this company policy. WE ARE AN EQUAL OPPORTUNITY EMPLOYER. Applicants and employees are considered for positions and are evaluated without regard to race, color, religion, gender, gender identity, sexual orientation, national origin, age, genetic information, military or veteran status, marital status, mental or physical disability or any other protected Federal, State/Province or Local status unrelated to the performance of the work involved. If you have a disability under the Americans with Disability Act or a similar law and want a reasonable accommodation to assist with your job search or application for employment, please contact us by sending an email to careers@Healthfirst.org or calling 212-519-1798 . In your email please include a description of the accommodation you are requesting and a description of the position for which you are applying. Only reasonable accommodation requests related to applying for a position within Healthfirst Management Services will be reviewed at the e-mail address and phone number supplied. Thank you for considering a career with Healthfirst Management Services. EEO Law Poster and Supplement All hiring and recruitment at Healthfirst is transacted with a valid “@healthfirst.org” email address only or from a recruitment firm representing our Company. Any recruitment firm representing Healthfirst will readily provide you with the name and contact information of the recruiting professional representing the opportunity you are inquiring about. If you receive a communication from a sender whose domain is not @healthfirst.org, or not one of our recruitment partners, please be aware that those communications are not coming from or authorized by Healthfirst. Healthfirst will never ask you for money during the recruitment or onboarding process."
Data Engineer,Banco Itau International- Miami,"Miami, FL 33131",https://www.indeed.com/rc/clk?jk=28fe64b3d746e3e9&fccid=dd616958bd9ddc12&vjs=3,"The Data Engineer will be responsible to develop an enterprise solution for the International Private Bank data-warehouse, data analytics and data visualization structure. Additionally, the Data Engineer is responsible to apply good software engineering and solution architecture practices to the design and construction of the data analysis self-service platform, and to propose decoupled and reusable solutions, as well as rationalization of tools and inner source culture. This position represents a key function for Itaú International Private Bank and US operations, requiring an individual with advanced knowledge with data structuring, as well as ability to collaborate and communicate with counterparties in other areas and offices Duties & Responsibilities Ø Access current data structure and connections in order to design the data models that support the bank's transactional and analytical systems Ø Work with IT team to restructure current DW set up, including new satellites systems, and set of data Ø Create patterns that facilitate the understanding of information Ø Generate optimized solutions for data consumption, looking for and specialized structures Ø Develop software and automate tasks Ø Draw architecture of business and data-oriented solutions Ø Build data pipelines for data lake Ø Define solution architecture Ø Compliance with BSA/AML laws, rules, regulations and the bank's BSA/AML policies and procedures Qualifications Ø Bachelor's degree in computer and information science, or related subject area required Ø Event-oriented architecture (Kafta) Ø Hadoo Ecosystem (Hive, Impala, Spark), SQL and NoSQL database (mongoDB, Cassandra) Ø Microservices and containers, Cloud computing (AWS) Ø Continuous integration and continuous delivery Ø Expertise in collaborative environment such as Git and Jira Ø Experience with design, construction, and documentation of APIs Ø Experience in Agile Methodologies Ø Clean Code Experience Ø Multi-tasker, strong ability to prioritize Ø Strong initiative and resourcefulness. Ø Cultural awareness to deal with people from different countries Ø Fluency in English, Portuguese is desirable"
Analytics Data Engineer-REMOTE,John Deere,"Remote in Johnston, IA 50131+7 locations",https://www.indeed.com/rc/clk?jk=f721d1b9a54fe88a&fccid=38eb72d608d80c79&vjs=3,"There are over 7 billion people on this planet. And by 2050, there will be 2 billion more... many moving into urban centers at an unprecedented rate. Making sure there is enough food, fiber and infrastructure for our rapidly growing world is what we're all about at John Deere. And it's why we're investing in our people and our technology like never before! Here the world's brightest minds are tackling the world's biggest challenges. If you believe one person can make the world a better place, we'll put you to work. RIGHT NOW. John Deere is an equal opportunity employer. All qualified applicants will receive consideration for employment without regards to, among other things, race, religion, color, national origin, sex, age, sexual orientation, gender identify or expression, status as a protected veteran, or status as a qualified individual with disability. Primary Location: United States (US) - Iowa - Johnston Function: Data & Analytics (CA) Title: Analytics Data Engineer-REMOTE Onsite/Remote:Remote Position Your Responsibilities As an Analytics Data Engineer for the John Deere Financial Sales, Marketing and Operational Analytics team located in Johnston, IA or can be Remote you will…. Manage data pipelines to generate datasets for modeling support, feature engineering, and data prep for APIs in collaboration with data scientists. Provide automation architecture & process support (scheduling, code management, etc.), leveraging tools like Databricks and Apache Airflow for task orchestration. Develop and implement best practices that drive consistent and sustainable reporting and descriptive analytics workflows and support data literacy for analytics practitioners. Creates ad hoc reports, visualizations and interactive applications that support data-driven decisions. Research new tools and technology for reporting processes; collaborate with analytics enablement teams to facilitate training and adoption by other analytics practitioners. Visa Sponsorship is not available for this position. What Skills You Need Expertise in SQL Proficiency in at least one other programming language (R, Python, SAS, etc.) Ability to work independently and with teams to solve problems, gather requirements and manage conflicting priorities Strong written and oral communications, especially around communicating analytical concepts What Makes You Stand Out Proficiency in Python programming language Experience in leveraging cloud services (AWS) and interacting with a Data Lake environment Experience with reporting & visualization tools (Excel, Tableau, Power BI, R Shiny) Understanding of various functions within John Deere Financial operation Education Ideally you will have a degree or equivalent related work experience in the following: Master’s degree in quantitative field (e.g. mathematics, statistics, analytics, computer science, information technology, economics) OR Bachelor’s degree in quantitative field (e.g. mathematics, statistics, analytics, computer science, information technology, economics) and 2-3 yrs related work experience What You'll Get At John Deere, you are empowered to create a career that will take you to where you want to go while working in an inclusive team environment. Here, you'll enjoy the freedom to explore new projects, the support to think outside the box and the advanced tools and technology that foster innovation and achievement. Additionally, we offer a comprehensive reward package to help you get started on your new career path, including: Flexible work arrangements Highly competitive base pay and performance bonuses Savings & Retirement benefits (401K and Defined Benefit Pension) Healthcare benefits with a generous company contribution in the Health Savings Account Adoption assistance Employee Assistance Programs Tuition assistance Fitness subsidies and on-site gyms at specific Deere locations Charitable contribution match Employee Purchase Plan & numerous discount programs for personal use Click Here to find out more about our Total Rewards Package. The information contained herein is not intended to be an exhaustive list of all responsibilities and qualifications required of individuals performing the job. The qualifications detailed in this job description are not considered the minimum requirements necessary to perform the job, but rather as guidelines. The terms of the applicable benefit plans, and all company actions administering or interpreting these plans, continue to control. Deere & Company reserves the right to suspend, amend, modify, or terminate the Plan(s) in any manner at any time, including the right to modify or eliminate any cost-sharing between the company and participants. Changes, which can be made at any time, are made by action of the company's board of directors, or to the extend authorized by resolution of its board of directors, or by the Deere & Company Compensation Committee. In the event of a conflict between the language of the official Plan Documents and this document, the language of the official Plan Documents will control. ACA Section 1557 Nondiscrimination Notice The John Deere Health Benefit Plans for Salaried and Wage Employees comply with applicable Federal civil rights laws and do not discriminate on the basis of race, color, national origin, age, disability, or sex."
